STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
35,61,970401,1400000US35061970401,35061970401,9704.01,Valencia,NM,New Mexico,"Census Tract 9704.01, Valencia County, New Mexic",4805,398,6227,1.2299,0.4859,1.2299,0.6842,0,0.0384,0.4987,0.1899,0.727,0.1028,0.9609,0,0,0,0,0,0.9609,0.5934,1,0.2172,0.4538,1.671,0.592,0.7423,0,0.8466,1.5889,0.8925,0,0,0,4.9478,0.2781,0.817,0.817,0.817,0.7548,0.837,0.4585,0.5138,0.7051,0.5666,0.9461,4.7819,0.7662,0.6044,0.5316,0.954,0.6799,2.7699,0.9574,0.9676,0.8396,1.8072,0.9852,10.176,0.9518,0,0,0,0,0,0,0,0,6.04,0.4,23.78,18.88,0,0,0,0,0,0,34.69,9.89,94.78,0,0.08,0,72.9,44.939,21.7,4.5,32.5,33.6079,8.1,39.6,17.4,22.5,24.3,3.2,34.8,2.9,29.3,9.9,5.9,14.4,12.2,0.3432,0.5445,0.3289,0.6662,0.5495
35,61,970303,1400000US35061970303,35061970303,9703.03,Valencia,NM,New Mexico,"Census Tract 9703.03, Valencia County, New Mexic",6932,871,4038,1.1991,0.4686,0.9991,0.5175,0,0.0351,0.2465,0.1457,0.4273,0.0554,0.9525,0,0,0,0,0,0.9525,0.5905,0.8248,0.2229,0.7959,1.8436,0.7162,0.4058,0,0.911,1.3168,0.6331,0.1462,0.1462,0.1462,4.6864,0.2227,0.7921,0.7921,0.7921,0.6902,0.3637,0.801,0.1481,0.4892,0.4022,0.8782,3.7726,0.5634,0.7226,0.4725,0.8516,0.4203,2.467,0.8472,0.9467,0.6383,1.585,0.9195,8.6167,0.7764,0,0,0,0,1,1,0.2,0,5.96,0.23,22.4,11.38,0,0,0,0,0,2.06,35.41,5.71,18.97,0,8.1,1.47,68.3,40.5148,7.2,8.2,13.5,25.9055,5.7,32.1,19.5,21.7,19.3,0.9,28.7,0.7,30.8,9.5,6.5,13,12.3,0.4334,0.4269,0.4494,0.6756,0.3852
35,61,970302,1400000US35061970302,35061970302,9703.02,Valencia,NM,New Mexico,"Census Tract 9703.02, Valencia County, New Mexic",2875,287,4482,0.6742,0.1708,0.6742,0.2608,0,0.022,0.0383,0.1201,0.1804,0.0275,0,0,0,0,0,0,0,0,0.7602,0.0517,0.9578,1.7697,0.6652,0,0,0,0,0,0.1203,0.1203,0.1203,2.0704,0.0017,0.7917,0.7917,0.7917,0.712,0.6109,0.5721,0.1053,0.6921,0.2409,0.4939,3.4272,0.4874,0.7472,0.7866,0.7806,0.6861,3.0005,0.9891,0.6822,0,0.6822,0.3917,7.9016,0.6725,0,0,0,0,0,0,0,0,5.6,0.09,21.51,0,0,0,0,0,0,9.62,7.79,3.58,0,0,0,0.04,68.2,41.913,12.5,5.4,11.2,33.0383,3.8,16.3,20,26.6,17.4,3.3,4.2,0,26.3,10.2,5.7,14.8,10.3,0.1848,0.6245,0.2923,0.4476,0.5944
35,61,970301,1400000US35061970301,35061970301,9703.01,Valencia,NM,New Mexico,"Census Tract 9703.01, Valencia County, New Mexic",6872,979,3040,1.5577,0.6483,0.9577,0.4834,0.4572,0.021,0.0178,0.0898,0.5858,0.0794,0,0,0,0,0,0,0,0,0.777,0.1684,0.9542,1.8996,0.7529,0,0,0,0,0,0,0,0,2.4854,0.006,0.8641,0.8641,0.8641,0.975,0.9394,0.8768,0.0894,0.7522,0.9396,0.8133,5.3857,0.8678,0.1481,0.7911,0.7047,0.9039,2.5478,0.8855,0.9946,0.3832,1.3778,0.813,10.1754,0.9517,0,1,0,1,1,3,0.6,0.67,5.57,0.06,20.42,0,0,0,0,0,0,7.15,28.45,3.67,0,0,0,0,82.09999999999998,72.5373,31.8,10.1,10.2,35.7785,21.3,27.9,9.2,26.7,15.8,12.7,54.4,0.1,28.6,11.3,4.4,18.8,13.3,0.3032,0.836,0.0995,0.7596,0.8974
35,61,970200,1400000US35061970200,35061970200,9702,Valencia,NM,New Mexico,"Census Tract 9702, Valencia County, New Mexico",3876,21,3092,0.7222,0.1954,0.5222,0.1612,0,0.0434,0.3242,0.1951,0.5627,0.0763,0,0,0,0,0,0,0,0,1,0.3884,0.5778,1.9662,0.796,0.4948,0.2023,0,0.6971,0.2746,0,0,0,3.226,0.0348,0.6931,0.6931,0.6931,0.4028,0.418,0.159,0.0662,0.2059,0.554,0.8603,2.6662,0.3218,0.8727,0.6182,0.4528,0.5088,2.4525,0.8397,0.9458,0,0.9458,0.6083,6.7576,0.4874,0,0,1,0,0,1,0.2,0,6.15,0.28,23.93,0,0,0,0,0,0,0,51.91,8.11,34.21,3.11,0,0,51.6,25.258,8.2,2.4,8.7,18.2415,7.9,30.8,23.5,23.7,11.9,1.4,28.5,0,31.5,9.8,7.8,12.5,11.7,0.476,0.5157,0.7565,0.6162,0.3268
35,61,970102,1400000US35061970102,35061970102,9701.02,Valencia,NM,New Mexico,"Census Tract 9701.02, Valencia County, New Mexic",6467,673,5804,0.9005,0.2942,0.7005,0.2804,0,0.0375,0.279,0.1809,0.4974,0.0656,0.9286,0,0,0,0,0,0.9286,0.583,1,0.2921,0.5213,1.8134,0.6962,0.2523,0,0,0.2523,0.0856,0,0,0,3.4917,0.0543,0.7502,0.7502,0.7502,0.53,0.5922,0.908,0.2179,0.303,0.5359,0.906,3.993,0.6114,0.4519,0.3327,0.8243,0.399,2.0079,0.5004,0.9799,0,0.9799,0.6467,7.731,0.6462,0,0,0,0,1,1,0.2,0,6.02,0.25,23.51,1.25,0,0,0,0,0,0,43,8.83,0.15,0,0,0,60.7,31.4675,12,11.3,16.9,20.8554,7.6,34.5,14.9,19.7,18.5,0.8,40,0,31,10.1,6.6,14.4,13.2,0.446,0.5987,0.471,0.7523,0.5495
35,61,970101,1400000US35061970101,35061970101,9701.01,Valencia,NM,New Mexico,"Census Tract 9701.01, Valencia County, New Mexic",3832,515,1515,1.5655,0.6522,0.9655,0.49,0.4572,0.0231,0.0178,0.0444,0.5425,0.0729,0,0,0,0,0,0,0,0,0.8471,0.1649,0.987,1.999,0.8154,0,0,0,0,0,0,0,0,2.5415,0.0073,0.8541,0.8541,0.8541,0.9403,0.9087,0.9274,0.254,0.745,0.7435,0.9804,5.4993,0.884,0.226,0.8638,0.9584,0.8623,2.9105,0.9805,0.9996,0,0.9996,0.6716,10.2635,0.9582,0,1,0,1,1,3,0.6,0.67,5.63,0.06,17.97,0,0,0,0,0,0,0.5,27.96,2.72,0,0,0,0,80.2,64.7443,27.6,12.3,18.6,35.4594,11.8,48.4,10.9,28.5,24.7,9.3,83.4,0,29.5,11.4,4.8,19.1,14.1,0.355,0.848,0.1505,0.813,0.9097
35,61,940300,1400000US35061940300,35061940300,9403,Valencia,NM,New Mexico,"Census Tract 9403, Valencia County, New Mexico",1021,271,318,1.2919,0.5197,0.6919,0.274,0.4572,0.027,0.0383,0.2051,0.7276,0.1029,0,0,0,0,0,0,0,0,0.859,0.4218,0.9239,2.2047,0.9179,0.2761,0.1743,0,0.4504,0.1453,0,0,0,3.3827,0.0458,0.9703,0.9703,0.9703,0.7219,0.7449,0.4029,0.1149,0.0144,0.8643,0.9968,3.8601,0.5829,0.3394,0.9277,0.6657,0,1.9328,0.4328,0.9676,0,0.9676,0.6327,7.7308,0.6461,0,1,0,1,1,3,0.6,0.67,5.73,0.09,24.2,0,0,0,0,0,0,0.04,54.8,4.17,1.77,0.21,0,0,97.7,42.6053,17,4.1,11.8,9.0634,16,63.7,13,31,15.1,0,34.8,0,33.8,15.7,6.5,21.9,17.1,0.6106,0.9951,0.4494,0.9272,0.9752
35,59,950200,1400000US35059950200,35059950200,9502,Union,NM,New Mexico,"Census Tract 9502, Union County, New Mexico",4133,0,3872,1.2035,0.4711,1.0035,0.5213,0,0.007,0.0042,0.0078,0.019,0.0026,0,0,0,0.6211,0,0,0.6211,0.3821,0.8449,0.6619,0.5964,2.1032,0.8715,0.2975,0.2256,0.8516,1.3747,0.6646,0.1883,0.1883,0.1883,4.3063,0.155,0.6728,0.6728,0.6728,0.7264,0.7699,0.1993,0.5548,0.0921,0.8124,0.936,4.0909,0.6328,0.7325,0.365,0.9026,0.5938,2.5939,0.9048,0.8516,0.9636,1.8152,0.9863,9.1728,0.8485,0,0,0,0,1,1,0.2,0,4.79,0.03,14.48,0,0,0,0.04,0,0,0.63,74.69,7.89,4.16,6.33,0.22,5.58,48.7,42.9027,18.1,2.7,35.1,14.552,13.9,38,19.7,20.2,21.2,2.1,15.2,15.7,32.5,9.6,7,14.3,12.4,0.536,0.4568,0.5632,0.6853,0.538
35,57,963700,1400000US35057963700,35057963700,9637,Torrance,NM,New Mexico,"Census Tract 9637, Torrance County, New Mexico",1923,375,1461,1.1579,0.4462,0.5579,0.1835,0,0.0124,0.024,0.0126,0.049,0.0076,0,0,0,0,0,0,0,0,0.7367,0.5216,0.9348,2.1931,0.913,0.3333,0.2383,0,0.5716,0.201,0.1169,0.1169,0.1169,2.9306,0.0191,0.6371,0.6371,0.6371,0.6381,0.4736,0.3881,0.2266,0.1655,0.4752,0.9517,3.3188,0.463,0.9199,0.1007,0.6885,0.477,2.1861,0.656,0.9256,0,0.9256,0.5868,7.0676,0.5388,1,0,1,0,1,3,0.6,0,5.19,0.07,15.21,0,0,0,0,0,0,13.57,63.29,4,8.8,8.05,0,0.01,44,37.3375,9.3,4,17.3,17.0701,6.7,40.6,26,13.8,15.5,1.2,24.5,0,37.2,10.2,8.2,13.4,15.5,0.7734,0.6245,0.8343,0.8798,0.4322
35,57,963600,1400000US35057963600,35057963600,9636,Torrance,NM,New Mexico,"Census Tract 9636, Torrance County, New Mexico",6454,608,4950,1.5232,0.6337,0.9232,0.4547,0,0.0142,0.024,0.0166,0.0548,0.0086,0,0,0,0,0,0,0,0,0.742,0.2341,0.9057,1.8818,0.7413,0.2904,0.2054,0,0.4958,0.1634,0,0,0,2.4324,0.0052,0.6302,0.6302,0.6302,0.8602,0.81,0.7959,0.2415,0.6279,0.2674,0.9411,4.544,0.7223,0.8344,0.414,0.8095,0.6593,2.7172,0.9449,0.9914,0.9024,1.8938,0.9946,9.7852,0.918,0,1,0,1,1,3,0.6,0,5.29,0.07,15.65,0,0,0,0,0,0,12.66,36.72,4.4,3.31,3.53,0,0,43,54.1538,20.1,8.1,18,30.4962,4.1,38.8,22.2,20.9,18.1,2.9,49.4,4.9,33.8,10.9,6.5,16.3,14.4,0.6106,0.7741,0.4494,0.8297,0.7418
35,57,963202,1400000US35057963202,35057963202,9632.02,Torrance,NM,New Mexico,"Census Tract 9632.02, Torrance County, New Mexic",3204,403,4872,1.3923,0.5712,0.7923,0.3486,0,0.0152,0.1617,0.0708,0.2477,0.0343,0,0,0,0,0,0,0,0,1,0.2687,0.6389,1.9076,0.7582,0,0.4732,0,0.4732,0.1539,0,0,0,2.6285,0.0091,0.7137,0.7137,0.7137,0.8599,0.7544,0.8105,0.325,0.7969,0.4474,0.8895,4.8836,0.7845,0.5982,0.4497,0.7152,0.3491,2.1122,0.5938,0.9547,0,0.9547,0.6173,8.6642,0.7832,0,1,0,1,1,3,0.6,0,5.35,0.18,19.57,0,0,0,0,0,0,0,40.6,7.42,0,45.81,0,0,54.6,54.1195,17.4,8.4,22,38.1725,6.3,33,17.3,21.4,16,0.6,30.7,0,32.2,11,6.7,16.1,13.7,0.5176,0.7919,0.4939,0.7878,0.7237
35,57,963201,1400000US35057963201,35057963201,9632.01,Torrance,NM,New Mexico,"Census Tract 9632.01, Torrance County, New Mexic",3938,486,2223,1.3208,0.5351,0.7208,0.2949,0,0.015,0.0549,0.0271,0.097,0.0162,0,0,0,0,0,0,0,0,1,0.1208,0.8922,2.013,0.8236,0,0.2869,0,0.2869,0.0969,0,0,0,2.3969,0.0046,0.6232,0.6232,0.6232,0.7448,0.4736,0.5492,0.0843,0.6889,0.5781,0.8603,3.9792,0.6086,0.5259,0.6893,0.763,0.6129,2.5911,0.9037,0.9969,0,0.9969,0.6691,8.1904,0.7162,0,1,0,1,1,3,0.6,0,5.34,0.11,16.72,0,0,0,0,0,0,0,20.94,4.58,0,14.48,0,0,42.2,44.1705,9.3,5.2,9.9,32.8889,8.3,30.8,16.1,24.8,17,2.3,61.2,0,33.1,10.8,6.5,15.6,12.3,0.5714,0.7575,0.4494,0.6756,0.6768
35,55,952700,1400000US35055952700,35055952700,9527,Taos,NM,New Mexico,"Census Tract 9527, Taos County, New Mexico",5500,710,4729,0.9939,0.3507,0.7939,0.3499,0,0.0031,0.0042,0.0063,0.0136,0.0017,0,0,0,0,0,0,0,0,0.4668,0.4172,0.8725,1.7565,0.6559,0,0,0,0,0,0.3277,0.3277,0.3277,2.0978,0.0019,0.7985,0.7985,0.7985,0.7773,0.4387,0.7849,0.1332,0.1335,0.584,0.6849,3.5365,0.5116,0.9336,0.1761,0.954,0.5498,2.6135,0.9128,0.8562,0.9237,1.7799,0.9809,8.7284,0.792,0,0,0,0,1,1,0.2,0,4.47,0.03,14.21,0,0,0,0,0,0,89.06,54.39,4.83,0,0,0,22.99,69.4,46.626,8.6,7.9,12.8,16.0309,8.4,22.3,27.1,16.6,24.3,1.7,15.6,6.4,33.1,10,7.3,13.4,14.6,0.5714,0.5713,0.6363,0.8406,0.4322
